Iteration,Kernel,Parameters,MSE,R^2,Cumulative Regret,LML
4,RationalQuadratic,"{'length_scale': 0.01, 'alpha': 0.31622776601683794}",3178.3066210284787,0.4567421402837143,4068.8286457423287,-886599.7946214222
4,RationalQuadratic,"{'length_scale': 0.01, 'alpha': 1.7782794100389228}",3178.3066200033213,0.4567421404216243,4068.8286430448015,-886599.7946214222
4,RationalQuadratic,"{'length_scale': 0.01, 'alpha': 10.0}",3178.306613961828,0.4567421415530939,4068.828637914441,-886599.794621416
4,RationalQuadratic,"{'length_scale': 0.1, 'alpha': 0.01}",3178.306622120207,0.4567421400883294,4068.8286471247848,-886599.7946214222
4,RationalQuadratic,"{'length_scale': 0.1, 'alpha': 0.05623413251903491}",3178.306622120207,0.4567421400883294,4068.8286471247848,-886599.7946214222
4,RationalQuadratic,"{'length_scale': 0.1, 'alpha': 0.31622776601683794}",3178.3066120149188,0.45674214194491974,4068.828637911675,-886599.7946214151
4,RationalQuadratic,"{'length_scale': 0.1, 'alpha': 1.7782794100389228}",3178.306612466983,0.4567421417567859,4068.828637965712,-886599.7946214136
4,RationalQuadratic,"{'length_scale': 0.1, 'alpha': 10.0}",3178.3066199095633,0.4567421404944792,4068.828648076251,-886599.7946214136
4,RationalQuadratic,"{'length_scale': 1.0, 'alpha': 0.01}",3178.306618607808,0.4567421407336436,4068.828648274403,-886599.794621416
4,RationalQuadratic,"{'length_scale': 1.0, 'alpha': 0.05623413251903491}",3178.306618076612,0.45674214084021186,4068.828645376394,-886599.7946214132
4,RationalQuadratic,"{'length_scale': 1.0, 'alpha': 0.31622776601683794}",3178.306606552522,0.45674214294849647,4068.828629965867,-886599.7946214188
4,RationalQuadratic,"{'length_scale': 1.0, 'alpha': 1.7782794100389228}",3178.3066304722997,0.45674213855384443,4068.828662057595,-886599.7946214167
4,RationalQuadratic,"{'length_scale': 1.0, 'alpha': 10.0}",3178.30662071683,0.45674214029684396,4068.8286448253543,-886599.7946214222
4,RationalQuadratic,"{'length_scale': 10.0, 'alpha': 0.01}",3178.3066212843655,0.45674214021251924,4068.828645016261,-886599.7946214222
4,RationalQuadratic,"{'length_scale': 10.0, 'alpha': 0.05623413251903491}",3178.306618666124,0.45674214072944846,4068.8286461700714,-886599.7946214136
4,RationalQuadratic,"{'length_scale': 10.0, 'alpha': 0.31622776601683794}",3178.3066162530026,0.4567421409600819,4068.828642878547,-886599.7946214222
4,RationalQuadratic,"{'length_scale': 10.0, 'alpha': 1.7782794100389228}",3178.306620947807,0.45674214030372823,4068.828649337026,-886599.7946214138
4,RationalQuadratic,"{'length_scale': 10.0, 'alpha': 10.0}",3178.3066221797617,0.4567421400773878,4068.8286473358517,-886599.7946214217
