,Kernel,Length Scale,Alpha,Noise Level,Bounds,Kernel Parameters,LML
412,RationalQuadratic,1e-06,0.0003455107294592222,0.00017782794100389227,"(1e-06, 1000)","RationalQuadratic(alpha=0.000346, length_scale=1e-06) + WhiteKernel(noise_level=0.000178)",53.77466332231558
83,RationalQuadratic,1e-06,2.894266124716752e-06,5.6234132519034905e-08,"(1e-06, 1000)","RationalQuadratic(alpha=2.89e-06, length_scale=1e-06) + WhiteKernel(noise_level=5.62e-08)",53.774663322315575
1903,RationalQuadratic,3.9810717055349695e-05,0.0017012542798525892,5.6234132519034905e-08,"(1e-06, 1000)","RationalQuadratic(alpha=0.0017, length_scale=3.98e-05) + WhiteKernel(noise_level=5.62e-08)",53.774663322315575
4472,RationalQuadratic,0.06309573444801943,4.124626382901348e-05,0.00017782794100389227,"(1e-06, 1000)","RationalQuadratic(alpha=4.12e-05, length_scale=0.0631) + WhiteKernel(noise_level=0.000178)",53.774663322315575
4948,RationalQuadratic,0.06309573444801943,0.07017038286703836,5.6234132519034905e-08,"(1e-06, 1000)","RationalQuadratic(alpha=0.0702, length_scale=0.0631) + WhiteKernel(noise_level=5.62e-08)",53.774663322315575
4528,RationalQuadratic,0.06309573444801943,0.00011937766417144369,5.6234132519034905e-08,"(1e-06, 1000)","RationalQuadratic(alpha=0.000119, length_scale=0.0631) + WhiteKernel(noise_level=5.62e-08)",53.774663322315575
6075,RationalQuadratic,2.5118864315095824,0.001,3.162277660168379e-06,"(1e-06, 1000)","RationalQuadratic(alpha=0.001, length_scale=2.51) + WhiteKernel(noise_level=3.16e-06)",53.774663322315575
1525,RationalQuadratic,3.9810717055349695e-05,4.923882631706742e-06,3.162277660168379e-06,"(1e-06, 1000)","RationalQuadratic(alpha=4.92e-06, length_scale=3.98e-05) + WhiteKernel(noise_level=3.16e-06)",53.774663322315575
1469,RationalQuadratic,3.9810717055349695e-05,1.7012542798525892e-06,0.01,"(1e-06, 1000)","RationalQuadratic(alpha=1.7e-06, length_scale=3.98e-05) + WhiteKernel(noise_level=0.01)",53.774663322315575
3660,RationalQuadratic,0.001584893192461114,0.34551072945922184,3.162277660168379e-06,"(1e-06, 1000)","RationalQuadratic(alpha=0.346, length_scale=0.00158) + WhiteKernel(noise_level=3.16e-06)",53.774663322315575
